Time Series,UNRATE,Job opening,federal interest rates
1/1/1960,5.2,,3.99
2/1/1960,4.8,,3.97
3/1/1960,5.4,,3.84
4/1/1960,5.2,,3.92
5/1/1960,5.1,,3.85
6/1/1960,5.4,,3.32
7/1/1960,5.5,,3.23
8/1/1960,5.6,,2.98
9/1/1960,5.5,,2.6
10/1/1960,6.1,,2.47
11/1/1960,6.1,,2.44
12/1/1960,6.6,,1.98
1/1/1961,6.6,,1.45
2/1/1961,6.9,,2.54
3/1/1961,6.9,,2.02
4/1/1961,7,,1.49
5/1/1961,7.1,,1.98
6/1/1961,6.9,,1.73
7/1/1961,7,,1.17
8/1/1961,6.6,,2
9/1/1961,6.7,,1.88
10/1/1961,6.5,,2.26
11/1/1961,6.1,,2.61
12/1/1961,6,,2.33
1/1/1962,5.8,,2.15
2/1/1962,5.5,,2.37
3/1/1962,5.6,,2.85
4/1/1962,5.6,,2.78
5/1/1962,5.5,,2.36
6/1/1962,5.5,,2.68
7/1/1962,5.4,,2.71
8/1/1962,5.7,,2.93
9/1/1962,5.6,,2.9
10/1/1962,5.4,,2.9
11/1/1962,5.7,,2.94
12/1/1962,5.5,,2.93
1/1/1963,5.7,,2.92
2/1/1963,5.9,,3
3/1/1963,5.7,,2.98
4/1/1963,5.7,,2.9
5/1/1963,5.9,,3
6/1/1963,5.6,,2.99
7/1/1963,5.6,,3.02
8/1/1963,5.4,,3.49
9/1/1963,5.5,,3.48
10/1/1963,5.5,,3.5
11/1/1963,5.7,,3.48
12/1/1963,5.5,,3.38
1/1/1964,5.6,,3.48
2/1/1964,5.4,,3.48
3/1/1964,5.4,,3.43
4/1/1964,5.3,,3.47
5/1/1964,5.1,,3.5
6/1/1964,5.2,,3.5
7/1/1964,4.9,,3.42
8/1/1964,5,,3.5
9/1/1964,5.1,,3.45
10/1/1964,5.1,,3.36
11/1/1964,4.8,,3.52
12/1/1964,5,,3.85
1/1/1965,4.9,,3.9
2/1/1965,5.1,,3.98
3/1/1965,4.7,,4.05
4/1/1965,4.8,,4.09
5/1/1965,4.6,,4.1
6/1/1965,4.6,,4.05
7/1/1965,4.4,,4.09
8/1/1965,4.4,,4.12
9/1/1965,4.3,,4.02
10/1/1965,4.2,,4.08
11/1/1965,4.1,,4.1
12/1/1965,4,,4.32
1/1/1966,4,,4.42
2/1/1966,3.8,,4.6
3/1/1966,3.8,,4.66
4/1/1966,3.8,,4.67
5/1/1966,3.9,,4.9
6/1/1966,3.8,,5.17
7/1/1966,3.8,,5.3
8/1/1966,3.8,,5.53
9/1/1966,3.7,,5.4
10/1/1966,3.7,,5.53
11/1/1966,3.6,,5.76
12/1/1966,3.8,,5.4
1/1/1967,3.9,,4.94
2/1/1967,3.8,,5
3/1/1967,3.8,,4.53
4/1/1967,3.8,,4.05
5/1/1967,3.8,,3.94
6/1/1967,3.9,,3.98
7/1/1967,3.8,,3.79
8/1/1967,3.8,,3.9
9/1/1967,3.8,,3.99
10/1/1967,4,,3.88
11/1/1967,3.9,,4.13
12/1/1967,3.8,,4.51
1/1/1968,3.7,,4.61
2/1/1968,3.8,,4.71
3/1/1968,3.7,,5.05
4/1/1968,3.5,,5.76
5/1/1968,3.5,,6.12
6/1/1968,3.7,,6.07
7/1/1968,3.7,,6.03
8/1/1968,3.5,,6.03
9/1/1968,3.4,,5.78
10/1/1968,3.4,,5.91
11/1/1968,3.4,,5.82
12/1/1968,3.4,,6.02
1/1/1969,3.4,,6.3
2/1/1969,3.4,,6.61
3/1/1969,3.4,,6.79
4/1/1969,3.4,,7.41
5/1/1969,3.4,,8.67
6/1/1969,3.5,,8.9
7/1/1969,3.5,,8.61
8/1/1969,3.5,,9.19
9/1/1969,3.7,,9.15
10/1/1969,3.7,,9
11/1/1969,3.5,,8.85
12/1/1969,3.5,,8.97
1/1/1970,3.9,,8.98
2/1/1970,4.2,,8.98
3/1/1970,4.4,,7.76
4/1/1970,4.6,,8.1
5/1/1970,4.8,,7.95
6/1/1970,4.9,,7.61
7/1/1970,5,,7.21
8/1/1970,5.1,,6.62
9/1/1970,5.4,,6.29
10/1/1970,5.5,,6.2
11/1/1970,5.9,,5.6
12/1/1970,6.1,,4.9
1/1/1971,5.9,,4.14
2/1/1971,5.9,,3.72
3/1/1971,6,,3.71
4/1/1971,5.9,,4.16
5/1/1971,5.9,,4.63
6/1/1971,5.9,,4.91
7/1/1971,6,,5.31
8/1/1971,6.1,,5.57
9/1/1971,6,,5.55
10/1/1971,5.8,,5.2
11/1/1971,6,,4.91
12/1/1971,6,,4.14
1/1/1972,5.8,,3.51
2/1/1972,5.7,,3.3
3/1/1972,5.8,,3.83
4/1/1972,5.7,,4.17
5/1/1972,5.7,,4.27
6/1/1972,5.7,,4.46
7/1/1972,5.6,,4.55
8/1/1972,5.6,,4.81
9/1/1972,5.5,,4.87
10/1/1972,5.6,,5.05
11/1/1972,5.3,,5.06
12/1/1972,5.2,,5.33
1/1/1973,4.9,,5.94
2/1/1973,5,,6.58
3/1/1973,4.9,,7.09
4/1/1973,5,,7.12
5/1/1973,4.9,,7.84
6/1/1973,4.9,,8.49
7/1/1973,4.8,,10.4
8/1/1973,4.8,,10.5
9/1/1973,4.8,,10.78
10/1/1973,4.6,,10.01
11/1/1973,4.8,,10.03
12/1/1973,4.9,,9.95
1/1/1974,5.1,,9.65
2/1/1974,5.2,,8.97
3/1/1974,5.1,,9.35
4/1/1974,5.1,,10.51
5/1/1974,5.1,,11.31
6/1/1974,5.4,,11.93
7/1/1974,5.5,,12.92
8/1/1974,5.5,,12.01
9/1/1974,5.9,,11.34
10/1/1974,6,,10.06
11/1/1974,6.6,,9.45
12/1/1974,7.2,,8.53
1/1/1975,8.1,,7.13
2/1/1975,8.1,,6.24
3/1/1975,8.6,,5.54
4/1/1975,8.8,,5.49
5/1/1975,9,,5.22
6/1/1975,8.8,,5.55
7/1/1975,8.6,,6.1
8/1/1975,8.4,,6.14
9/1/1975,8.4,,6.24
10/1/1975,8.4,,5.82
11/1/1975,8.3,,5.22
12/1/1975,8.2,,5.2
1/1/1976,7.9,,4.87
2/1/1976,7.7,,4.77
3/1/1976,7.6,,4.84
4/1/1976,7.7,,4.82
5/1/1976,7.4,,5.29
6/1/1976,7.6,,5.48
7/1/1976,7.8,,5.31
8/1/1976,7.8,,5.29
9/1/1976,7.6,,5.25
10/1/1976,7.7,,5.02
11/1/1976,7.8,,4.95
12/1/1976,7.8,,4.65
1/1/1977,7.5,,4.61
2/1/1977,7.6,,4.68
3/1/1977,7.4,,4.69
4/1/1977,7.2,,4.73
5/1/1977,7,,5.35
6/1/1977,7.2,,5.39
7/1/1977,6.9,,5.42
8/1/1977,7,,5.9
9/1/1977,6.8,,6.14
10/1/1977,6.8,,6.47
11/1/1977,6.8,,6.51
12/1/1977,6.4,,6.56
1/1/1978,6.4,,6.7
2/1/1978,6.3,,6.78
3/1/1978,6.3,,6.79
4/1/1978,6.1,,6.89
5/1/1978,6,,7.36
6/1/1978,5.9,,7.6
7/1/1978,6.2,,7.81
8/1/1978,5.9,,8.04
9/1/1978,6,,8.45
10/1/1978,5.8,,8.96
11/1/1978,5.9,,9.76
12/1/1978,6,,10.03
1/1/1979,5.9,,10.07
2/1/1979,5.9,,10.06
3/1/1979,5.8,,10.09
4/1/1979,5.8,,10.01
5/1/1979,5.6,,10.24
6/1/1979,5.7,,10.29
7/1/1979,5.7,,10.47
8/1/1979,6,,10.94
9/1/1979,5.9,,11.43
10/1/1979,6,,13.77
11/1/1979,5.9,,13.18
12/1/1979,6,,13.78
1/1/1980,6.3,,13.82
2/1/1980,6.3,,14.13
3/1/1980,6.3,,17.19
4/1/1980,6.9,,17.61
5/1/1980,7.5,,10.98
6/1/1980,7.6,,9.47
7/1/1980,7.8,,9.03
8/1/1980,7.7,,9.61
9/1/1980,7.5,,10.87
10/1/1980,7.5,,12.81
11/1/1980,7.5,,15.85
12/1/1980,7.2,,18.9
1/1/1981,7.5,,19.08
2/1/1981,7.4,,15.93
3/1/1981,7.4,,14.7
4/1/1981,7.2,,15.72
5/1/1981,7.5,,18.52
